drwNo,1,2,3,4,5,6,bnusNo,no1,no2,no3,no4,no5
1032,1,6,12,19,36,42,28,2675257538,49541807,1448591,50000,5000
1031,6,7,22,32,35,36,19,3213957563,66957450,1536493,50000,5000
1030,2,5,11,17,24,29,9,1276406507,38864942,1233055,50000,5000
1029,12,30,32,37,39,41,24,2527848450,67952916,1611738,50000,5000
1028,5,7,12,13,18,35,23,1181235132,43268687,1401228,50000,5000
1027,14,16,27,35,39,45,5,2460504338,49407718,1518830,50000,5000
1026,5,12,13,31,32,41,34,1619118475,53260477,1452907,50000,5000
1025,8,9,20,25,29,33,7,6118853344,59119356,1527232,50000,5000
1024,9,18,20,22,38,44,10,3020323500,63922191,1539411,50000,5000
1023,10,14,16,18,29,35,25,2745677875,57201623,1643463,50000,5000
1022,5,6,11,29,42,45,28,4866468075,64371271,1571857,50000,5000
1021,12,15,17,24,29,45,16,2108962250,75320081,1713907,50000,5000
1020,12,27,29,38,41,45,6,1966431520,55332489,1512461,50000,5000
1019,1,4,13,17,34,39,6,438565140,48729460,627634,50000,5000
1018,3,19,21,25,37,45,35,12361744688,66460993,1530109,50000,5000
1017,12,18,22,23,30,34,32,3517684822,58628081,1580881,50000,5000
1016,15,26,28,34,41,42,44,2260660671,60949185,1543018,50000,5000
1015,14,23,31,33,37,40,44,3051105610,39883734,1412549,50000,5000
1014,3,11,14,18,26,27,21,2410449338,58223414,1410115,50000,5000
1013,21,22,26,34,36,41,32,5047570725,53244417,1626570,50000,5000
1012,5,11,18,20,35,45,3,1861944318,53081746,1399797,50000,5000
1011,1,9,12,26,35,38,42,2220348512,53561039,1444514,50000,5000
1010,9,12,15,25,34,36,3,3119380079,63017780,1495568,50000,5000
1009,15,23,29,34,40,44,20,1702462825,61683436,1617081,50000,5000
1008,9,11,30,31,41,44,33,2267377910,42854222,1470935,50000,5000
1007,8,11,16,19,21,25,40,2718786375,58259709,1433960,50000,5000
1006,8,11,15,16,17,37,36,2855602125,65898511,1722318,50000,5000
1005,8,13,18,24,27,29,17,2061199344,49076175,1473338,50000,5000
1004,7,15,30,37,39,44,18,2576251913,63143430,1541743,50000,5000
1003,1,4,29,39,43,45,31,1811116822,64029383,1595297,50000,5000
1002,17,25,33,35,38,45,15,3088449563,48446268,1289676,50000,5000
1001,6,10,12,14,20,42,15,2077279594,62947867,1504730,50000,5000
1000,2,8,19,22,32,42,39,1246819620,41941945,1137798,50000,5000
999,1,3,9,14,18,28,34,1513274790,60229843,1371186,50000,5000
998,13,17,18,20,42,45,41,2076499657,78358478,1568354,50000,5000
997,4,7,14,16,24,44,20,1253749560,46708317,1075354,50000,5000
996,6,11,15,24,32,39,28,1491185771,52018109,1350305,50000,5000
995,1,4,13,29,38,39,7,3447271875,58287206,1439964,50000,5000
994,1,3,8,24,27,35,28,1861582063,53188059,1328279,50000,5000
993,6,14,16,18,24,42,44,3991197063,57017101,1460907,50000,5000
992,12,20,26,33,44,45,24,1986955563,68515710,1674636,50000,5000
991,13,18,25,31,33,44,38,2904166032,35202013,1304218,50000,5000
990,2,4,25,26,36,37,28,1740095277,72503970,1420652,50000,5000
989,17,18,21,27,29,33,26,5826768563,61658927,1589408,50000,5000
988,2,13,20,30,31,41,27,2678489375,65864493,1508725,50000,5000
987,2,4,15,23,29,38,7,2378711625,54308485,1335755,50000,5000
986,7,10,16,28,41,42,40,2375275125,56554170,1417398,50000,5000
985,17,21,23,30,34,44,19,2434752975,65450349,1572229,50000,5000
984,3,10,23,35,36,37,18,3453006268,62945427,1551814,50000,5000
983,13,23,26,31,35,43,15,2503422225,53491928,1580444,50000,5000
982,5,7,13,20,21,44,33,3023630672,49771699,1375472,50000,5000
981,27,36,37,41,43,45,32,1992863193,66428774,1528991,50000,5000
980,3,13,16,23,24,35,14,3409443215,56824054,1411027,50000,5000
979,7,11,16,21,27,33,24,1606400518,47446429,1097911,50000,5000
978,1,7,15,32,34,42,8,2373391388,56509319,1399736,50000,5000
977,2,9,10,14,22,44,16,1669905911,47517648,1574959,50000,5000
976,4,12,14,25,35,37,2,3243867215,54847997,1226747,50000,5000
975,7,8,9,17,22,24,5,2440410375,60010092,1294419,50000,5000
974,1,2,11,16,39,44,32,1317034523,56539361,1415629,50000,5000
973,22,26,31,37,41,42,24,2912742750,92468024,1720717,50000,5000
972,3,6,17,23,37,39,26,1124886244,46870261,1458997,50000,5000
971,2,6,17,18,21,26,7,3725880250,60094843,1387665,50000,5000
970,9,11,16,21,28,36,5,1611544045,43221488,1516850,50000,5000
969,3,9,10,29,40,45,7,1149427894,68418328,1455157,50000,5000
968,2,5,12,14,24,39,33,1667729683,37251694,1159633,50000,5000
967,1,6,13,37,38,40,9,5809776094,56133103,1564923,50000,5000
966,1,21,25,29,34,37,36,2411303513,80376784,1708691,50000,5000
965,2,13,25,28,29,36,34,3403348929,86316821,1662024,50000,5000
964,6,21,36,38,39,43,30,2345861063,75187855,1597781,50000,5000
963,6,12,19,23,34,42,35,1476478125,54282285,1176665,50000,5000
962,1,18,28,31,34,43,40,1940906094,53175510,1503996,50000,5000
961,11,20,29,31,33,42,43,2575231209,52915710,1422256,50000,5000
960,2,18,24,30,32,45,14,2401133213,71462298,1557762,50000,5000
